id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente
27780,Regional,COL,Colombia,SUCRE,SAN JUAN DE BETULIA,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,16.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27781,Regional,COL,Colombia,SUCRE,SAN JUAN DE BETULIA,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,168.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27782,Regional,COL,Colombia,SUCRE,SAN JUAN DE BETULIA,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,471.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27783,Regional,COL,Colombia,SUCRE,SAN JUAN DE BETULIA,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,938.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27784,Regional,COL,Colombia,SUCRE,SAN MARCOS,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,48.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27785,Regional,COL,Colombia,SUCRE,SAN MARCOS,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,230.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27786,Regional,COL,Colombia,SUCRE,SAN MARCOS,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,1590.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27787,Regional,COL,Colombia,SUCRE,SAN MARCOS,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,2111.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27788,Regional,COL,Colombia,SUCRE,SAN ONOFRE,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,108.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27789,Regional,COL,Colombia,SUCRE,SAN ONOFRE,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,1346.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
