id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente,personas_desplazadas_flag,desplazamiento_stock_flag,registro_valido_dominio,outlier_iqr_extremo
29,Global,BLZ,Belize,,,2024,2024,Desastre natural / climático,Todos,Todos,2700.0,8.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
30,Global,BOL,Bolivia,,,2024,2024,Desastre natural / climático,Todos,Todos,18000.0,12000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
31,Global,BRA,Brazil,,,2024,2024,Conflicto armado / violencia,Todos,Todos,19000.0,19000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
32,Global,BRA,Brazil,,,2024,2024,Desastre natural / climático,Todos,Todos,1124000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,True
33,Global,BRB,Barbados,,,2024,2024,Desastre natural / climático,Todos,Todos,400.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
34,Global,BTN,Bhutan,,,2024,2024,Desastre natural / climático,Todos,Todos,160.0,140.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
35,Global,BWA,Botswana,,,2024,2024,Desastre natural / climático,Todos,Todos,1000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
36,Global,CAF,Central African Republic,,,2024,2024,Conflicto armado / violencia,Todos,Todos,94000.0,469000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
37,Global,CAF,Central African Republic,,,2024,2024,Desastre natural / climático,Todos,Todos,19000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
38,Global,CAN,Canada,,,2024,2024,Desastre natural / climático,Todos,Todos,45000.0,2000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
39,Global,CHE,Switzerland,,,2024,2024,Desastre natural / climático,Todos,Todos,1100.0,97.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
40,Global,CHL,Chile,,,2024,2024,Desastre natural / climático,Todos,Todos,13000.0,8300.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
41,Global,CHN,China,,,2024,2024,Desastre natural / climático,Todos,Todos,3926000.0,198000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
42,Global,CIV,Côte D'Ivoire,,,2024,2024,Desastre natural / climático,Todos,Todos,2600.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
43,Global,CMR,Cameroon,,,2024,2024,Conflicto armado / violencia,Todos,Todos,93000.0,1029000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
44,Global,CMR,Cameroon,,,2024,2024,Desastre natural / climático,Todos,Todos,261000.0,29000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
45,Global,COD,Dem. Rep. Congo,,,2024,2024,Conflicto armado / violencia,Todos,Todos,5333000.0,6215000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
46,Global,COD,Dem. Rep. Congo,,,2024,2024,Desastre natural / climático,Todos,Todos,750000.0,681000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
47,Nacional,COL,Colombia,,,2024,2024,Conflicto armado / violencia,Todos,Todos,388000.0,7265000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
48,Nacional,COL,Colombia,,,2024,2024,Desastre natural / climático,Todos,Todos,91000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
49,Global,COM,Comoros,,,2024,2024,Conflicto armado / violencia,Todos,Todos,11.0,11.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
50,Global,COM,Comoros,,,2024,2024,Desastre natural / climático,Todos,Todos,1000.0,27.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
51,Global,CRI,Costa Rica,,,2024,2024,Desastre natural / climático,Todos,Todos,6000.0,58.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
52,Global,CUB,Cuba,,,2024,2024,Desastre natural / climático,Todos,Todos,480000.0,37000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
53,Global,CYM,Cayman Islands,,,2024,2024,Desastre natural / climático,Todos,Todos,110.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
54,Global,CYP,Cyprus,,,2024,2024,Conflicto armado / violencia,Todos,Todos,,245000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),sin_dato,reportado,True,False
55,Global,CYP,Cyprus,,,2024,2024,Desastre natural / climático,Todos,Todos,1500.0,13.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
56,Global,CZE,Czech Republic,,,2024,2024,Desastre natural / climático,Todos,Todos,22000.0,5.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
57,Global,DEU,Germany,,,2024,2024,Desastre natural / climático,Todos,Todos,7000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
58,Global,DJI,Djibouti,,,2024,2024,Desastre natural / climático,Todos,Todos,430.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
